_id,checkin_count,الموقع,Site,City English,City Arabic,Brn,Y GIS Coordinates,Site Type,X GIS Coordinates,id,Reg
86,,عمارة حمود تركي مريزيق المعاذي 1 (وكيل شرعى - فايز حمود الطالب ),FAYS HMOOD BUILDING,AL-JOUF,الجوف,Of Site,29.937218,Room-Window,40.200442,84,AL-JOUF
87,,محطة العبد الله والبليهد,AL BLAIHED GAS STATION,AL-JOUF,الجوف,Of Site,29.952948,drive up - Island,40.192873,85,AL-JOUF
88,,حي الخالدية الجوف,HAY ALKHALIDIYA ALJOUF,AL-JOUF,الجوف,Of Site,29.9494833333333,Room-Lobby,40.1945833333333,86,AL-JOUF
89,,فرع صلة الجوف,SILAH AL JOUF,AL-JOUF,الجوف,Of Site,29.9632068206,Room-Window,40.2121158045,87,AL-JOUF
90,, جامعة الجوف -مجمع كلية البنات - اللقائط,COLLEGE OF GIRLS AL JOUF,AL-JOUF,الجوف,Of Site,29.7802135,Room-Window,40.0522225,88,AL-JOUF
92,, فرع الجوف 2,CA-AL JOUF 2,AL-JOUF,الجوف,Brn,29.961,Room-Lobby,40.2041666666667,90,AL-JOUF
93,, فرع الجوف 1,AL JOUF BRANCH,AL-JOUF,الجوف,Brn,29.961,Room-Lobby,40.2041666666667,91,AL-JOUF
94,,فرع صناعية الجوف 2,CA-SINAIYAH AL JOUF BR 2,AL-JOUF,الجوف,Brn,29.9745833333333,Room-Window,40.21575,92,AL-JOUF
95,,فرع صناعية الجوف 1,CA-SINAIYAH AL JOUF BR 1,AL-JOUF,الجوف,Brn,29.9745833333333,Room-Window,40.21575,93,AL-JOUF
96,,فرع صناعية الجوف 3,SINAIYAH AL JOUF BR 3,AL-JOUF,الجوف,Brn,29.9745833333333,Room-Window,40.21575,94,AL-JOUF
97,,فرع حى الزهور الجوف 2,CA-AL ZUHOR BR ATM 2,AL-JOUF,الجوف,Brn,29.929392,Room-Window,40.190506,95,AL-JOUF
98,,فرع حى الزهور الجوف 1,CA-AL ZUHOR BR ATM 1,AL-JOUF,الجوف,Brn,29.929392,Room-Window,40.190506,96,AL-JOUF
99,,فرع حى الزهور الجوف 3,AL ZUHOR BR ATM 3,AL-JOUF,الجوف,Brn,29.929392,Room-Window,40.190506,97,AL-JOUF
100,,حوالات الجوف 1 ,CA-AL JOUF REMITTANCE,AL-JOUF,الجوف,Remittance Center,29.958,Room-Lobby,40.2043333333333,98,AL-JOUF
5,2,محطة الطيار - مركز كرا,ALTAYAR GAS STATION KARA,AL-AQIQ- BAHA,العقيق - الباحة,Of Site,20.388771,drive up - Island,41.597709,5,AL-BAHA
60,2,فرع الحديثة 1,CA-AL-HADITHAH BRANCH 1,AL-HADIASAH,الحديثة,Brn,31.5143333333333,Room-Window,37.114,58,AL-JOUF
91,1,جامعة الجوف,AL JOUF UNIVERSITY,AL-JOUF,الجوف,Of Site,29.787213,drive up - Island,40.052244,89,AL-JOUF
